,size,depth,sea_depth,school_seabed_distance,width_bbox,length_box,perimeter_school,intensity_school,dif_intensity_school_image,center_square_intensity,edges_school_intensity,dif_intensity_center_edges,std_intensity_school,gradient_school,gradient_school_center,gradient_school_edges,dif_gradient_center_edges,solidity,compactness,inertia_tensor_eigvals_ratio,thresh_max,thresh_min,center_x,center_y,night,area_school
10,343.0,12.047813411078716,36.0,23.952186588921286,6,73,149.7989898732233,-78.3773968504545,5.857730871651242,-65.89071023165982,-84.4588783930526,18.568168161392773,6.612995912505148,39.67875289002212,39.00791877272842,39.865533806849825,0.8576150341214088,0.8886010362694301,0.1920817989187603,0.005823197411457378,0.22,0.05,120.47813411078717,160.14285714285714,0,1392.2175625390732
11,369.0,10.423848238482382,38.6,28.176151761517616,5,109,259.1066017177982,-74.16387171464982,12.90400068160902,-66.95223558457042,-77.41464038625216,10.462404801681727,9.271663952731654,102.63025242542221,116.00203461593712,99.13055083279056,16.871483783146587,0.7987012987012987,0.06906838057361914,0.002120667547570862,0.19,0.06,104.23848238482385,1.6124661246612466,0,1805.414811023968
12,42.0,10.257142857142854,38.0,27.742857142857147,4,13,26.65685424949238,-85.50441854131233,1.2555875960695602,-80.55227739107943,-88.39399633336308,7.8417189422836335,4.413960083132177,81.97908305373899,81.00413489385845,82.12118244437431,1.1170475505158637,0.9333333333333332,0.7427477751703876,0.09802271566565243,0.17,0.04,102.57142857142857,20.595238095238095,0,165.98560406307845
13,82.0,11.682926829268293,32.3,20.617073170731704,2,45,80.0,-70.28964832546352,16.893109793347634,-66.51245487980978,-70.28964832546352,3.7771934456537366,2.4557883766208417,111.37882942082108,111.50315400993713,111.37882942082108,0.12432458911605693,0.942528735632184,0.16100662349647687,0.0016696970405296412,0.21,0.21,116.82926829268293,5.451219512195122,0,302.8747769997092
14,23.0,8.034782608695652,38.9,30.86521739130435,3,10,19.035533905932734,-81.33243575736397,2.3587443899246665,-79.78473410933056,-82.17932673891141,2.394592629580856,2.50903647867988,45.872536965676424,47.00502047603287,45.52852712092177,1.4764933551111028,0.92,0.7976411947615121,0.06476731162661119,0.19,0.12,80.34782608695652,126.21739130434783,0,92.52485932853304
15,21.0,15.757142857142858,38.0,22.24285714285714,2,13,20.207106781186546,-73.62005516264918,7.846406237973285,-72.78119590804656,-73.62005516264918,0.8388592546026103,2.659242248795908,63.00187513713203,65.50434934634241,63.00187513713203,2.5024742092103764,0.9130434782608696,0.6462802523718411,0.01869888304668873,0.21,0.13,157.57142857142858,94.57142857142857,0,81.05974300746345
16,28.0,5.678571428571429,40.2,34.52142857142857,5,8,19.035533905932734,-84.18396901906101,-4.121139399557478,-80.48479404900766,-86.46772160529581,5.982927556288147,4.644347518377578,41.079043548107,42.007683253588205,40.79497266090065,1.21271059268755,0.8484848484848485,0.9710414544922756,0.3124097268208621,0.18,0.03,56.785714285714285,97.85714285714286,0,125.49506439877692
17,398.0,9.583668341708544,40.0,30.41633165829146,18,46,243.02438661763955,-84.07216348550756,-4.009333866004042,-78.91704071540539,-84.84723170810601,5.930190992700616,2.735358119420384,15.729968216471535,10.018204703662464,16.022980762569276,6.004776058906812,0.6113671274961597,0.08468241302963347,0.13086660562469038,0.18,0.03,95.83668341708542,81.29396984924622,0,2553.531321619629
18,101.0,8.15049504950495,41.0,32.84950495049505,7,32,68.00609665440987,-79.70922482496731,-0.7575504295853791,-73.93838276077726,-83.0330782859001,9.094695525122845,5.8229382556930815,25.239147720168447,21.008997756915072,24.63263499021201,3.623637233296943,0.6778523489932886,0.27443249946261783,0.02880882042184755,0.23,0.04,81.5049504950495,56.277227722772274,0,516.4064246895807
19,1146.0,10.632635253054099,41.0,30.367364746945896,29,83,299.68733752154174,-76.56890506630637,2.3827693290755576,-61.862633258315185,-82.15848657033193,20.29585331201674,5.562796172909834,69.14601383870836,60.003466037749746,69.13583949290104,9.132373455151297,0.7332053742802304,0.16034583917207404,0.07231173922423915,0.23,0.04,106.32635253054102,37.21989528795812,0,5728.817864751758
